JOB_ID     JOB_NAME   MD ST  USER     START_DATE      ELAPSE_LIM            NODE_REQUIRE    VNODE  CORE V_MEM       
31571257   ljx        NM RUN u12219   03/22 19:59:45  0006:00:00            12:2x3x2        -      -    -           
31571303   lmp_deepmd NM RUN u12219   03/22 21:20:14< 0000:05:00            768:8x12x8      -      -    -           
31571304   lmp_deepmd NM QUE u12219   (03/22 21:28)<  0000:05:00            768:8x12x8      -      -    -           
31571321   pjsub.sh   NM QUE u12219   (03/22 21:36)<  0000:05:00            768:8x12x8      -      -    -           
31571323   lmp_deepmd NM QUE u12219   (03/23 21:29)   0000:20:00            46656:36x36x36  -      -    -           
31571324   lmp_deepmd NM QUE u12219   (03/23 22:27)   0000:20:00            46656:36x36x36  -      -    -           
31571325   lmp_deepmd NM QUE u12219   (03/23 11:19)<  0000:20:00            36864:32x36x32  -      -    -           
31571326   lmp_deepmd NM QUE u12219   (03/23 12:20)<  0000:20:00            36864:32x36x32  -      -    -           
31571327   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            18432:24x32x24  -      -    -           
31571328   lmp_deepmd NM QUE u12219   (03/23 14:22)<  0000:20:00            18432:24x32x24  -      -    -           
31571331   lmp_deepmd NM QUE u12219   (03/23 18:26)<  0000:20:00            6144:16x24x16   -      -    -           
31571332   lmp_deepmd NM QUE u12219   (03/23 19:27)<  0000:20:00            6144:16x24x16   -      -    -           
31571333   lmp_deepmd NM QUE u12219   (03/23 20:28)<  0000:20:00            4608:16x18x16   -      -    -           
31571334   lmp_deepmd NM QUE u12219   (03/23 20:28)<  0000:20:00            4608:16x18x16   -      -    -           
31571337   lmp_deepmd NM QUE u12219   (03/24 00:28)   0000:20:00            46656:36x36x36  -      -    -           
31571338   lmp_deepmd NM QUE u12219   (03/24 02:29)   0000:20:00            46656:36x36x36  -      -    -           
31571339   lmp_deepmd NM QUE u12219   (03/23 15:23)<  0000:20:00            36864:32x36x32  -      -    -           
31571341   lmp_deepmd NM QUE u12219   (03/23 16:24)<  0000:20:00            36864:32x36x32  -      -    -           
31571342   lmp_deepmd NM QUE u12219   (03/23 14:22)<  0000:20:00            18432:24x32x24  -      -    -           
31571343   lmp_deepmd NM QUE u12219   (03/23 17:25)<  0000:20:00            18432:24x32x24  -      -    -           
31571344   lmp_deepmd NM QUE u12219   (03/25 00:29)   0000:20:00            6144:16x24x16   -      -    -           
31571345   lmp_deepmd NM QUE u12219   (03/25 00:29)   0000:20:00            6144:16x24x16   -      -    -           
31571346   lmp_deepmd NM QUE u12219   (03/24 20:28)<  0000:20:00            4608:16x18x16   -      -    -           
31571347   lmp_deepmd NM QUE u12219   (03/25 00:29)   0000:20:00            4608:16x18x16   -      -    -           
31571349   lmp_deepmd NM QUE u12219   (03/25 00:29)   0000:05:00            6144:16x24x16   -      -    -           
31571350   lmp_deepmd NM QUE u12219   (03/25 04:30)   0000:05:00            6144:16x24x16   -      -    -           
31571351   lmp_deepmd NM QUE u12219   (03/25 04:30)   0000:05:00            4608:16x18x16   -      -    -           
31571352   lmp_deepmd NM QUE u12219   (03/25 04:30)   0000:05:00            4608:16x18x16   -      -    -           
31571354   lmp_deepmd NM QUE u12219   (03/23 09:00)<  0000:05:00            2160:12x15x12   -      -    -           
31571355   lmp_deepmd NM QUE u12219   (03/23 09:36)<  0000:05:00            2160:12x15x12   -      -    -           
31571357   lmp_deepmd NM QUE u12219   (03/22 21:44)<  0000:05:00            768:8x12x8      -      -    -           
31571358   lmp_deepmd NM QUE u12219   (03/22 21:52)<  0000:05:00            768:8x12x8      -      -    -           
31571362   lmp_deepmd NM QUE u12219   (03/25 04:30)   0000:20:00            6144:16x24x16   -      -    -           
31571364   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            6144:16x24x16   -      -    -           
31571365   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            4608:16x18x16   -      -    -           
31571366   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            4608:16x18x16   -      -    -           
31571367   lmp_deepmd NM QUE u12219   (03/23 10:18)<  0000:20:00            2160:12x15x12   -      -    -           
31571368   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            2160:12x15x12   -      -    -           
31571369   lmp_deepmd NM QUE u12219   (03/23 03:20)<  0000:20:00            768:8x12x8      -      -    -           
31571370   lmp_deepmd NM QUE u12219   (03/23 04:12)<  0000:20:00            768:8x12x8      -      -    -           
31571381   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            6144:16x24x16   -      -    -           
31571382   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            6144:16x24x16   -      -    -           
31571384   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            4608:16x18x16   -      -    -           
31571385   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            4608:16x18x16   -      -    -           
31571386   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            2160:12x15x12   -      -    -           
31571387   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            2160:12x15x12   -      -    -           
31571388   lmp_deepmd NM QUE u12219   (03/23 04:48)<  0000:20:00            768:8x12x8      -      -    -           
31571389   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            768:8x12x8      -      -    -           
31571390   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            6144:16x24x16   -      -    -           
31571391   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            6144:16x24x16   -      -    -           
31571392   lmp_deepmd NM QUE u12219   (03/25 08:31)   0000:20:00            4608:16x18x16   -      -    -           
31571393   lmp_deepmd NM QUE u12219   (03/25 12:32)   0000:20:00            4608:16x18x16   -      -    -           
31571394   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            2160:12x15x12   -      -    -           
31571395   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            2160:12x15x12   -      -    -           
31571396   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            768:8x12x8      -      -    -           
31571397   lmp_deepmd NM QUE u12219   (03/23 13:21)<  0000:20:00            768:8x12x8      -      -    -           
